"","x","y","est_agbd","d2roads","pop_cnt_2000","slope","dem","wc_prec_1990.1999","wc_tavg_1990.1999","soilType","manage_stratum","estimat_year","ras_sub"
"1",30.0762694492059,-0.300890704829297,86.7242202758789,0.0166666600853205,179.899475097656,10.4234085083008,1644,3887.72607421875,20.911169052124,133,"2009",2021,"2"
"2",30.076538943791,-0.300890704829297,80.1364822387695,0.0166666600853205,179.899475097656,10.4234085083008,1644,3887.72607421875,20.911169052124,133,"2009",2021,"2"
"3",29.9870667405191,-0.480643593128516,35.5961761474609,0.124999947845936,258.340667724609,1.34795522689819,1133,3597.22192382812,21.8671169281006,45,"2010",2021,"1"
"4",29.9870667405191,-0.480913087713672,34.8764495849609,0.124999947845936,258.340667724609,1.34795522689819,1133,3597.22192382812,21.8671169281006,45,"2010",2021,"1"
"5",30.0013499535324,-0.487650452342578,29.6074237823486,0.10833328962326,266.192016601562,10.4807577133179,1300,4028.39916992188,20.9246788024902,9,"2011",2021,"1"
"6",30.0013499535324,-0.487919946927734,25.1426372528076,0.10833328962326,266.192016601562,10.4807577133179,1300,4028.39916992187,20.9246788024902,9,"2011",2021,"1"
"7",30.0016194481176,-0.487919946927734,25.9051208496094,0.10833328962326,266.192016601562,10.4807577133179,1300,4028.39916992188,20.9246788024902,9,"2011",2021,"1"
"8",30.0018889427027,-0.487919946927734,27.8328647613525,0.10833328962326,266.192016601562,10.4807577133179,1300,4028.39916992188,20.9246788024902,9,"2011",2021,"1"
"9",30.0021584372879,-0.487919946927734,29.5229110717773,0.10833328962326,266.192016601562,10.4807577133179,1300,4028.39916992188,20.9246788024902,9,"2011",2021,"1"
"10",30.0013499535324,-0.488189441512891,21.4674777984619,0.10833328962326,266.192016601562,10.4807577133179,1300,4028.39916992188,20.9246788024902,9,"2011",2021,"1"
"11",30.0016194481176,-0.488189441512891,28.5145072937012,0.10833328962326,266.192016601562,10.4807577133179,1300,4028.39916992188,20.9246788024902,9,"2011",2021,"1"
"12",30.0018889427027,-0.488189441512891,29.1440010070801,0.10833328962326,266.192016601562,10.4807577133179,1300,4028.39916992187,20.9246788024902,9,"2011",2021,"1"
"13",30.0021584372879,-0.488189441512891,32.1309585571289,0.10833328962326,266.192016601562,10.4807577133179,1300,4028.39916992188,20.9246788024902,9,"2011",2021,"1"
"14",30.002427931873,-0.488189441512891,38.9323616027832,0.10833328962326,266.192016601562,10.4807577133179,1300,4028.39916992188,20.9246788024902,9,"2011",2021,"1"
"15",30.0013499535324,-0.488458936098047,22.9296989440918,0.10833328962326,266.192016601562,10.4807577133179,1300,4028.39916992187,20.9246788024902,9,"2011",2021,"1"
"16",30.0016194481176,-0.488458936098047,32.9630241394043,0.10833328962326,266.192016601562,10.4807577133179,1300,4028.39916992187,20.9246788024902,9,"2011",2021,"1"
"17",30.002427931873,-0.488458936098047,28.7892646789551,0.10833328962326,266.192016601562,10.4807577133179,1300,4028.39916992188,20.9246788024902,9,"2011",2021,"1"
"18",30.019675585323,-0.462856950508203,70.670768737793,0.0916666314005852,163.072250366211,6.9330735206604,1265,4072.64526367187,20.8279685974121,9,"2011",2021,"1"
"19",30.0194060907379,-0.463126445093359,34.2050743103027,0.0916666314005852,163.072250366211,6.9330735206604,1265,4072.64526367188,20.8279685974121,9,"2011",2021,"1"
"20",30.019675585323,-0.463126445093359,60.1483612060547,0.0916666314005852,163.072250366211,6.9330735206604,1265,4072.64526367188,20.8279685974121,9,"2011",2021,"1"
"21",30.0199450799082,-0.463126445093359,69.057861328125,0.0916666314005852,163.072250366211,6.9330735206604,1265,4072.64526367188,20.8279685974121,9,"2011",2021,"1"
"22",30.0175196286418,-0.464743412604297,36.4372863769531,0.0916666314005852,163.072250366211,6.9330735206604,1265,4072.64526367188,20.8279685974121,9,"2011",2021,"1"
"23",30.017789123227,-0.464743412604297,34.8774833679199,0.0916666314005852,163.072250366211,6.9330735206604,1265,4072.64526367188,20.8279685974121,9,"2011",2021,"1"
"24",30.0172501340566,-0.465012907189453,51.0347328186035,0.0921640320492393,168.758675846698,6.71044242629051,1260.2846415697,4072.64526367188,20.8279685974121,9,"2011",2021,"1"
"25",30.0175196286418,-0.465012907189453,42.692699432373,0.0916666314005852,163.072250366211,6.9330735206604,1265,4072.64526367188,20.8279685974121,9,"2011",2021,"1"
"26",30.017789123227,-0.465012907189453,40.7945251464844,0.0916666314005852,163.072250366211,6.9330735206604,1265,4072.64526367187,20.8279685974121,9,"2011",2021,"1"
"27",30.0185976069824,-0.464473918019141,31.6947174072266,0.0916666314005852,163.072250366211,6.9330735206604,1265,4072.64526367188,20.8279685974121,9,"2011",2021,"1"
"28",30.0185976069824,-0.464743412604297,42.7781982421875,0.0916666314005852,163.072250366211,6.9330735206604,1265,4072.64526367188,20.8279685974121,9,"2011",2021,"1"
"29",29.993804105148,-0.504089622037109,53.348762512207,0.116666622459888,278.430450439453,9.3486795425415,1364,3785.82470703125,21.4099960327148,9,"2012",2021,"1"
"30",29.993804105148,-0.504359116622266,57.9716339111328,0.116666622459888,278.430450439453,9.3486795425415,1364,3785.82470703125,21.4099960327148,9,"2012",2021,"1"
"31",29.9940735997332,-0.504359116622266,52.0160598754883,0.116666622459888,278.430450439453,9.3486795425415,1364,3785.82470703125,21.4099960327148,9,"2012",2021,"1"
"32",29.9878752242746,-0.480374098543359,46.6780586242676,0.124999947845936,258.340667724609,1.34795522689819,1133,3597.22192382812,21.8671169281006,45,"2011",2021,"1"
